SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
28,0.374868,0.809259,0.374868,0.809259,0.592063,0.505185,0.678942
29,0.404995,0.404444,0.404995,0.404444,0.40472,0.40483,0.40461
30,0.376396,0.625,0.376396,0.625,0.500698,0.450977,0.550419
31,0.294949,0.368519,0.294949,0.368519,0.331734,0.31702,0.346448
32,0.24026,0.647778,0.24026,0.647778,0.444019,0.362515,0.525522
33,0.302249,0.015385,0.302249,0.015385,0.158817,0.216189,0.101444
34,0.340278,0.455517,0.340278,0.455517,0.397897,0.37485,0.420945
35,0.333333,0.75,0.333333,0.75,0.541667,0.458333,0.625
36,0.221914,0.313333,0.221914,0.313333,0.267624,0.24934,0.285907
37,0.277778,0.154304,0.277778,0.154304,0.216041,0.240736,0.191346
38,0.375,0.723457,0.375,0.723457,0.549228,0.479537,0.61892
39,0.300779,0.5,0.300779,0.5,0.40039,0.360545,0.440234
40,0.326921,0.621538,0.326921,0.621538,0.47423,0.415306,0.533153
41,0.334921,0.311601,0.334921,0.311601,0.323261,0.327925,0.318597
42,0.356329,0.523857,0.356329,0.523857,0.440093,0.406587,0.473599
43,0.32373,0.903333,0.32373,0.903333,0.613531,0.497611,0.729452
44,0.34212,0.549583,0.34212,0.549583,0.445852,0.404359,0.487344
45,0.31794,0.737778,0.31794,0.737778,0.527859,0.443891,0.611826
46,0.378779,0.627059,0.378779,0.627059,0.502919,0.453263,0.552575
47,0.444795,0.625,0.444795,0.625,0.534897,0.498856,0.570938
48,0.230159,0.586666,0.230159,0.586666,0.408412,0.337111,0.479714
49,0.133598,0.685114,0.133598,0.685114,0.409356,0.299053,0.519659
50,0.309028,0.5,0.309028,0.5,0.404514,0.366319,0.442708
51,0.354398,0.746667,0.354398,0.746667,0.550532,0.472079,0.628986
52,0.394231,0.6125,0.394231,0.6125,0.503365,0.459712,0.547019
53,0.275208,0.768889,0.275208,0.768889,0.522049,0.423312,0.620785
54,0.31,0.5,0.31,0.5,0.405,0.367,0.443
55,0.415056,0.8,0.415056,0.8,0.607528,0.530539,0.684517
56,0.429598,0.783824,0.429598,0.783824,0.606711,0.535865,0.677556
57,0.386038,0.798003,0.386038,0.798003,0.59202,0.509627,0.674413
58,0.336067,0.56,0.336067,0.56,0.448034,0.403247,0.49282
59,0.384615,0.740741,0.384615,0.740741,0.562678,0.491453,0.633903
