SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
158,0.111409,0.263546,0.111409,0.263546,0.187477,0.15705,0.217905
159,0.0,0.451732,0.0,0.451732,0.225866,0.135519,0.316212
160,0.152778,0.298604,0.152778,0.298604,0.225691,0.196526,0.254856
161,0.037393,0.110755,0.037393,0.110755,0.074074,0.059402,0.088746
162,0.0,0.321212,0.0,0.321212,0.160606,0.096364,0.224848
163,0.231209,0.357064,0.231209,0.357064,0.294137,0.268966,0.319308
164,0.314286,0.572917,0.314286,0.572917,0.443601,0.391875,0.495327
165,0.283678,0.311553,0.283678,0.311553,0.297615,0.29204,0.30319
166,0.318182,0.333333,0.318182,0.333333,0.325758,0.322727,0.328788
167,0.388889,0.666667,0.388889,0.666667,0.527778,0.472222,0.583333
168,0.268073,0.371618,0.268073,0.371618,0.319845,0.299136,0.340554
169,0.275833,0.871212,0.275833,0.871212,0.573523,0.454447,0.692598
170,0.302669,0.528895,0.302669,0.528895,0.415782,0.370537,0.461027
171,0.282011,0.831106,0.282011,0.831106,0.556558,0.446739,0.666378
172,0.249428,0.474747,0.249428,0.474747,0.362088,0.317024,0.407152
173,0.208311,0.771618,0.208311,0.771618,0.489965,0.377303,0.602626
174,0.12004,0.184542,0.12004,0.184542,0.152291,0.13939,0.165191
175,0.189917,0.684292,0.189917,0.684292,0.437104,0.338229,0.535979
176,0.338239,0.675106,0.338239,0.675106,0.506672,0.439299,0.574046
177,0.249047,0.609186,0.249047,0.609186,0.429116,0.357088,0.501144
178,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,0.142857,0.147116,0.142857,0.147116,0.144987,0.144135,0.145838
180,0.119048,0.115364,0.119048,0.115364,0.117206,0.117943,0.116469
181,0.38125,0.821429,0.38125,0.821429,0.601339,0.513304,0.689375
182,0.200535,0.596015,0.200535,0.596015,0.398275,0.319179,0.477371
183,0.342857,0.52,0.342857,0.52,0.431429,0.396,0.466857
184,0.23,0.711774,0.23,0.711774,0.470887,0.374532,0.567241
185,0.222222,0.324206,0.222222,0.324206,0.273214,0.252817,0.293611
186,0.263629,0.351111,0.263629,0.351111,0.30737,0.289874,0.324867
187,0.249369,0.320859,0.249369,0.320859,0.285114,0.270816,0.299412
188,0.24213,0.675298,0.24213,0.675298,0.458714,0.37208,0.545348
189,0.194584,0.598413,0.194584,0.598413,0.396498,0.315732,0.477264
190,0.314583,0.768849,0.314583,0.768849,0.541716,0.450863,0.632569
191,0.125,0.275175,0.125,0.275175,0.200087,0.170052,0.230122
192,0.149351,0.167435,0.149351,0.167435,0.158393,0.154776,0.16201
193,0.145652,0.244484,0.145652,0.244484,0.195068,0.175302,0.214835
194,0.111111,0.623704,0.111111,0.623704,0.367407,0.264889,0.469926
195,0.181818,0.384316,0.181818,0.384316,0.283067,0.242568,0.323567
196,1.0,1.0,1.0,1.0,1.0,1.0,1.0
197,0.3125,0.625741,0.3125,0.625741,0.46912,0.406472,0.531769
198,0.205211,0.704762,0.205211,0.704762,0.454986,0.355076,0.554896
199,0.204082,0.316532,0.204082,0.316532,0.260307,0.237817,0.282797
200,0.25,0.198083,0.25,0.198083,0.224042,0.234425,0.213658
201,0.283333,0.745435,0.283333,0.745435,0.514384,0.421964,0.606805
202,0.295918,0.816,0.295918,0.816,0.555959,0.451943,0.659976
203,0.222222,0.777275,0.222222,0.777275,0.499749,0.388738,0.610759
204,0.255741,0.693621,0.255741,0.693621,0.474681,0.387105,0.562257
205,0.265432,0.333333,0.265432,0.333333,0.299383,0.285802,0.312963
206,0.2,0.438177,0.2,0.438177,0.319088,0.271453,0.366724
207,0.199588,0.703704,0.199588,0.703704,0.451646,0.350823,0.552469
208,0.288889,0.6,0.288889,0.6,0.444444,0.382222,0.506667
209,0.285714,0.625238,0.285714,0.625238,0.455476,0.387571,0.523381
210,0.332626,0.417778,0.332626,0.417778,0.375202,0.358171,0.392232
211,0.294915,0.49887,0.294915,0.49887,0.396893,0.356101,0.437684
212,0.169231,0.333668,0.169231,0.333668,0.251449,0.218562,0.284336
213,0.175509,0.883907,0.175509,0.883907,0.529708,0.388028,0.671387
214,0.375,0.41395,0.375,0.41395,0.394475,0.386685,0.402265
215,0.2,0.944444,0.2,0.944444,0.572222,0.423333,0.721111
216,0.220391,0.061538,0.220391,0.061538,0.140965,0.172735,0.109194
217,0.35,0.72,0.35,0.72,0.535,0.461,0.609
218,0.124107,0.912133,0.124107,0.912133,0.51812,0.360515,0.675725
219,0.225,0.512686,0.225,0.512686,0.368843,0.311306,0.42638
220,0.214464,0.516162,0.214464,0.516162,0.365313,0.304973,0.425652
221,0.328125,0.743975,0.328125,0.743975,0.53605,0.45288,0.61922
222,0.297669,0.976172,0.297669,0.976172,0.636921,0.50122,0.772621
223,0.160253,0.059341,0.160253,0.059341,0.109797,0.129979,0.089614
224,0.262389,0.58,0.262389,0.58,0.421194,0.357672,0.484717
